Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Programista Oracle ,Crestt sp. z o.o.,Łódź,Data  Oracle  SQL  Java,21840,25200,PLN
 Senior Talend ETL Specialist ,JSS Associates,Warsaw,Data  ETL  AWS Cloud  Data management,,,
 Data Engineer ,Raiffeisen Tech,Warszawa,Data  Python  Big data  AWS,20000,26000,PLN
 ClickHouse Solutions Support Engineer / DBA ,Alttinity,Remote,Data  SQL  C++  Linux,,,
 Inżynier/ka ds. procesowania i dystrybucji danych ,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,Warszawa,Data  Red Hat  .NET  GCP,12000,14000,PLN
 Senior Project Manager with German ,Link Group,Remote,Project Manager  Communication skills  Project management  Product development,23520,25200,PLN
 PostGreSQL Database Administrator ,Euroclear,Kraków,Data  SQL  PostgreSQL  Performance tuning,,,
 Experienced Data Engineer ,Euroclear,Kraków,Data  Spark  SQL  Scala,,,
 Senior Database Administrator (Azure) ,SoftServe,Remote,Data  Oracle  Azure  MySQL,16000,20000,PLN
 Senior Data Engineer z j. niemieckim  ,dmTECH,Remote,Data  Big data  Spark  Hive,15120,28896,PLN
 Data Engineer ,CommerzBank,Łódź,Data  SQL  DWH  Unix,,,
 Data Solutions Architect  ,Link Group,Remote,Data  Data analytics  Data analysis  Power Curve,25200,30240,PLN
 Programista Oracle  ,HRose Agency,Łódź,Data  SQL  Oracle  Java,,,
 Senior Data Engineer  ,N-iX,Remote,Data  ETL  Data Warehousing  GCP,4500,6100,USD
 Remote Data Engineer  ,Kingfisher plc.,Remote,Data  Python  AWS  Data modelling,15000,19000,PLN
 Program and Transition Manager ,Altimetrik Poland,Remote,Project Manager  Jira  SAFe  Altas,25000,29500,PLN
 Specjalista ds. Danych i Raportów Ryzyka  ,Nest Bank,Warszawa,Data  SQL  Python  Azure Databricks,,,
 Data Architect - Remote ,ITDS,Remote,Data  Data management  Data architecture  Data Governance,23100,27300,PLN
 Senior Big Data Engineer (AWS) ,SoftServe,Remote,Data  Python  AWS  Airflow,20000,28000,PLN
 Senior Machine Learning Engineer (Future Opening) ,Xebia sp. z o.o.,Remote,Data  Python  Cloud  CI/CD,20100,33600,PLN
 Data Scientist ,Connectis_,Remote,Data  AI  Machine learning  Python,25200,28560,PLN
 Big Data DBA  ,Adaptiq,Remote,Data  K8  OCP  WebLogic,6500,6800,USD
 Senior Data Modeller ,Devire,Gdańsk,Data  SQL  Data modelling  Data structures,25200,29400,PLN
 Data Engineer - Fulfillment (part time) ,Tesco Technology,Kraków,Data  Scala  Hadoop  Kafka,15000,23000,PLN
 Python Developer ,ROCKWOOL GBS,Poznań,Data  Python  Machine learning  TensorFlow,,,
 Senior Process & Project Expert OEE KPI - Remote ,Link Group,Remote,Project Manager  OEE  PostgreSQL  Project management,24000,27500,PLN
 Senior Data Scientist ,Devire,Łódź,Data  Python  SQL  DAX,25200,29400,PLN
 Data Engineer (Senior/Principal) ,Addepto,Remote,Data  Python  Big data  Databricks,21000,31920,PLN
 Data Warehouse Engineer ,HSBC Technology Poland,Kraków,Data  Trino  Dremio  Data Lake,23000,30000,PLN
 Data Engineer | Branża elektroniczna ,Edge One Solutions Sp. z o.o.,Remote,Data  Hive  Spark  ETL,,,
 Middle Integration Engineer ,N-iX,Remote,Data  Ruby  Python  SQL,3000,3700,USD
 Database Reliability Engineer ,monday.com,Warsaw,Data  SQL  RDBMS  MySQL,57000,64000,PLN
" Lead Data Software Engineer (Java, GCP) ",EPAM Systems,Wrocław,Data  Java  SQL  ETL,26500,31500,PLN
 Specjalista ds. Analiz Danych / BI ,Polskie Technologie,Warszawa,Data  SQL  SAS  Power BI,7600,12600,PLN
 Data Scientist ,Sii Polska,Remote,Data  Python  NLP  AWS,24000,30000,PLN
 Delivery Leader ,C&F S.A.,Remote,Project Manager  Project management  AWS  Stakeholder management,,,
 Specjalista ds. Danych i Systemów Ryzyka  ,Nest Bank,Warszawa,Data  Python  SQL  Power BI,,,
 Software Development Manager - Machine Learning ,Tesco Technology,Kraków,Data  Python  MLOps  Team management,28000,40000,PLN
 DLT Engineer ,HSBC Technology Poland,Kraków,Data  Java  Spring Framework  RDBMS,23000,25000,PLN
 Junior Data Engineer / Python Developer ,Alterdata.io sp. z o.o.,Remote,Data  Python  SQL  Problem solving,7000,11000,PLN
 Junior Analityk Danych / Analityczka Danych ,Alterdata.io sp. z o.o.,Remote,Data  SQL  Azure  GCP,7000,11000,PLN
 Data Engineer ,Numlabs - Data Science Services,Remote,Data  Python  Degree  Cloud computing,16800,25200,PLN
 Data Engineer (Fulfillment) ,Tesco Technology,Kraków,Data  Scala  Hadoop  Kafka,20000,30000,PLN
